make,body-style,wheel-base,engine-size,horsepower,peak-rpm,highway-mpg,price
ferrari,convertible,88.6,130,111,5000,27,113495
alfa-romero,convertible,88.6,130,111,5000,27,13495
alfa-romero,convertible,88.6,130,111,5000,27,16500
alfa-romero,hatchback,94.5,152,154,5000,26,16500
audi,sedan,99.8,109,102,5500,30,13950
audi,sedan,99.4,136,115,5500,22,17450
audi,sedan,99.8,136,110,5500,25,15250
audi,sedan,105.8,136,110,5500,25,17710
audi,wagon,105.8,136,110,5500,25,18920
audi,sedan,105.8,131,140,5500,20,23875
audi,hatchback,99.5,131,160,5500,22,34587
bmw,sedan,101.2,108,101,5800,29,16430
bmw,sedan,101.2,108,101,5800,29,16925
bmw,sedan,101.2,164,121,4250,28,20970
bmw,sedan,101.2,164,121,4250,28,21105
bmw,sedan,103.5,164,121,4250,25,24565
bmw,sedan,103.5,209,182,5400,22,30760
bmw,sedan,103.5,209,182,5400,22,41315
bmw,sedan,110.0,209,182,5400,20,36880
chevrolet,hatchback,88.4,61,48,5100,53,5151
chevrolet,hatchback,94.5,90,70,5400,43,6295
chevrolet,sedan,94.5,90,70,5400,43,6575
dodge,hatchback,93.7,90,68,5500,41,5572
dodge,hatchback,93.7,90,68,5500,38,6377
dodge,hatchback,93.7,98,102,5500,30,7957
dodge,hatchback,93.7,90,68,5500,38,6229
dodge,sedan,93.7,90,68,5500,38,6692
dodge,sedan,93.7,90,68,5500,38,7609
dodge,sedan,93.7,98,102,5500,30,8558
dodge,wagon,103.3,122,88,5000,30,8921
dodge,hatchback,95.9,156,145,5000,24,12964
honda,hatchback,86.6,92,58,4800,54,6479
honda,hatchback,86.6,92,76,6000,38,6855
honda,hatchback,93.7,79,60,5500,42,5399
honda,hatchback,93.7,92,76,6000,34,6529
honda,hatchback,93.7,92,76,6000,34,7129
honda,sedan,96.5,92,76,6000,34,7295
honda,wagon,96.5,92,76,6000,34,7295
honda,hatchback,96.5,110,86,5800,33,7895
honda,hatchback,96.5,110,86,5800,33,9095
honda,sedan,96.5,110,86,5800,33,8845
honda,sedan,96.5,110,86,5800,33,10295
honda,sedan,96.5,110,101,5800,28,12945
honda,sedan,96.5,110,100,5500,31,10345
isuzu,sedan,94.3,111,78,4800,29,6785
isuzu,sedan,94.5,90,70,5400,43,8759
isuzu,sedan,94.5,90,70,5400,43,9541
isuzu,hatchback,96.0,119,90,5000,29,11048
jaguar,sedan,113.0,258,176,4750,19,32250
jaguar,sedan,113.0,258,176,4750,19,35550
jaguar,sedan,102.0,326,262,5000,17,36000
mazda,hatchback,93.1,91,68,5000,31,5195
mazda,hatchback,93.1,91,68,5000,38,6095
mazda,hatchback,93.1,91,68,5000,38,6795
mazda,sedan,93.1,91,68,5000,38,6695
mazda,sedan,93.1,91,68,5000,38,7395
mazda,hatchback,95.3,70,101,6000,23,10945
mazda,hatchback,95.3,70,101,6000,23,11845
mazda,hatchback,95.3,70,101,6000,23,13645
mazda,hatchback,95.3,80,135,6000,23,15645
mazda,hatchback,98.8,122,84,4800,32,8845
mazda,sedan,98.8,122,84,4800,32,8495
mazda,hatchback,98.8,122,84,4800,32,10595
mazda,sedan,98.8,122,84,4800,32,10245
mazda,sedan,98.8,122,64,4650,42,10795
mazda,hatchback,98.8,122,84,4800,32,11245
mazda,sedan,104.9,140,120,5000,27,18280
mazda,sedan,104.9,134,72,4200,39,18344
mercedes-benz,sedan,110.0,183,123,4350,25,25552
mercedes-benz,wagon,110.0,183,123,4350,25,28248
mercedes-benz,hardtop,106.7,183,123,4350,25,28176
mercedes-benz,sedan,115.6,183,123,4350,25,31600
mercedes-benz,sedan,115.6,234,155,4750,18,34184
mercedes-benz,convertible,96.6,234,155,4750,18,35056
mercedes-benz,sedan,120.9,308,184,4500,16,40960
mercedes-benz,hardtop,112.0,304,184,4500,16,45400
mercury,hatchback,102.7,140,175,5000,24,16503
mitsubishi,hatchback,93.7,92,68,5500,41,5389
mitsubishi,hatchback,93.7,92,68,5500,38,6189
mitsubishi,hatchback,93.7,92,68,5500,38,6669
mitsubishi,hatchback,93.0,98,102,5500,30,7689
mitsubishi,hatchback,96.3,110,116,5500,30,9959
mitsubishi,hatchback,96.3,122,88,5000,32,8499
mitsubishi,hatchback,95.9,156,145,5000,24,12629
mitsubishi,hatchback,95.9,156,145,5000,24,14869
mitsubishi,hatchback,95.9,156,145,5000,24,14489
mitsubishi,sedan,96.3,122,88,5000,32,6989
mitsubishi,sedan,96.3,122,88,5000,32,8189
mitsubishi,sedan,96.3,110,116,5500,30,9279
mitsubishi,sedan,96.3,110,116,5500,30,9279
nissan,sedan,94.5,97,69,5200,37,5499
nissan,sedan,94.5,103,55,4800,50,7099
nissan,sedan,94.5,97,69,5200,37,6649
nissan,sedan,94.5,97,69,5200,37,6849
nissan,wagon,94.5,97,69,5200,37,7349
nissan,sedan,94.5,97,69,5200,37,7299
nissan,hatchback,94.5,97,69,5200,37,7799
nissan,sedan,94.5,97,69,5200,37,7499
nissan,wagon,94.5,97,69,5200,37,7999
nissan,hardtop,95.1,97,69,5200,37,8249
nissan,hatchback,97.2,120,97,5200,34,8949
nissan,sedan,97.2,120,97,5200,34,9549
nissan,sedan,100.4,181,152,5200,22,13499
nissan,wagon,100.4,181,152,5200,22,14399
nissan,sedan,100.4,181,152,5200,25,13499
nissan,hatchback,91.3,181,160,5200,25,17199
nissan,hatchback,91.3,181,200,5200,23,19699
nissan,hatchback,99.2,181,160,5200,25,18399
peugot,sedan,107.9,120,97,5000,24,11900
peugot,sedan,107.9,152,95,4150,33,13200
peugot,wagon,114.2,120,97,5000,24,12440
peugot,wagon,114.2,152,95,4150,25,13860
peugot,sedan,107.9,120,95,5000,24,15580
peugot,sedan,107.9,152,95,4150,33,16900
peugot,wagon,114.2,120,95,5000,24,16695
peugot,wagon,114.2,152,95,4150,25,17075
peugot,sedan,107.9,120,97,5000,24,16630
peugot,sedan,107.9,152,95,4150,33,17950
peugot,sedan,108.0,134,142,5600,24,18150
plymouth,hatchback,93.7,90,68,5500,41,5572
plymouth,hatchback,93.7,98,102,5500,30,7957
plymouth,hatchback,93.7,90,68,5500,38,6229
plymouth,sedan,93.7,90,68,5500,38,6692
plymouth,sedan,93.7,98,68,5500,38,7609
plymouth,wagon,103.3,122,88,5000,30,8921
plymouth,hatchback,95.9,156,145,5000,24,12764
porsche,hatchback,94.5,151,143,5500,27,22018
porsche,hardtop,89.5,194,207,5900,25,32528
porsche,hardtop,89.5,194,207,5900,25,34028
porsche,convertible,89.5,194,207,5900,25,37028
porsche,hatchback,98.4,203,288,5750,28,42147
renault,wagon,96.1,132,NA,NA,31,9295
renault,hatchback,96.1,132,NA,NA,31,9895
saab,hatchback,99.1,121,110,5250,28,11850
saab,sedan,99.1,121,110,5250,28,12170
saab,hatchback,99.1,121,110,5250,28,15040
saab,sedan,99.1,121,110,5250,28,15510
saab,hatchback,99.1,121,160,5500,26,18150
saab,sedan,99.1,121,160,5500,26,18620
subaru,hatchback,93.7,97,69,4900,36,5118
subaru,hatchback,93.7,108,73,4400,31,7053
subaru,hatchback,93.3,108,73,4400,31,7603
subaru,sedan,97.2,108,82,4800,37,7126
subaru,sedan,97.2,108,82,4400,33,7775
subaru,sedan,97.2,108,94,5200,32,9960
subaru,sedan,97.0,108,82,4800,25,9233
subaru,sedan,97.0,108,111,4800,29,11259
subaru,wagon,97.0,108,82,4800,32,7463
subaru,wagon,97.0,108,94,5200,31,10198
subaru,wagon,96.9,108,82,4800,29,8013
subaru,wagon,96.9,108,111,4800,23,11694
toyota,hatchback,95.7,92,62,4800,39,5348
toyota,hatchback,95.7,92,62,4800,38,6338
toyota,hatchback,95.7,92,62,4800,38,6488
toyota,wagon,95.7,92,62,4800,37,6918
toyota,wagon,95.7,92,62,4800,32,7898
toyota,wagon,95.7,92,62,4800,32,8778
toyota,sedan,95.7,98,70,4800,37,6938
toyota,hatchback,95.7,98,70,4800,37,7198
toyota,sedan,95.7,110,56,4500,36,7898
toyota,hatchback,95.7,110,56,4500,47,7788
toyota,sedan,95.7,98,70,4800,47,7738
toyota,hatchback,95.7,98,70,4800,34,8358
toyota,sedan,95.7,98,70,4800,34,9258
toyota,sedan,94.5,98,70,4800,34,8058
toyota,hatchback,94.5,98,70,4800,34,8238
toyota,sedan,94.5,98,112,6600,29,9298
toyota,hatchback,94.5,98,112,6600,29,9538
toyota,hardtop,98.4,146,116,4800,30,8449
toyota,hardtop,98.4,146,116,4800,30,9639
toyota,hatchback,98.4,146,116,4800,30,9989
toyota,hardtop,98.4,146,116,4800,30,11199
toyota,hatchback,98.4,146,116,4800,30,11549
toyota,convertible,98.4,146,116,4800,30,17669
toyota,sedan,102.4,122,92,4200,34,8948
toyota,sedan,102.4,110,73,4500,33,10698
toyota,hatchback,102.4,122,92,4200,32,9988
toyota,sedan,102.4,122,92,4200,32,10898
toyota,hatchback,102.4,122,92,4200,32,11248
toyota,hatchback,102.9,171,161,5200,24,16558
toyota,hatchback,102.9,171,161,5200,24,15998
toyota,sedan,104.5,171,156,5200,24,15690
toyota,wagon,104.5,161,156,5200,24,15750
volkswagen,sedan,97.3,97,52,4800,46,7775
volkswagen,sedan,97.3,109,85,5250,34,7975
volkswagen,sedan,97.3,97,52,4800,46,7995
volkswagen,sedan,97.3,109,85,5250,34,8195
volkswagen,sedan,97.3,109,85,5250,34,8495
volkswagen,sedan,97.3,97,68,4500,42,9495
volkswagen,sedan,97.3,109,100,5500,32,9995
volkswagen,convertible,94.5,109,90,5500,29,11595
volkswagen,hatchback,94.5,109,90,5500,29,9980
volkswagen,sedan,100.4,136,110,5500,24,13295
volkswagen,sedan,100.4,97,68,4500,38,13845
volkswagen,wagon,100.4,109,88,5500,31,12290
volvo,sedan,104.3,141,114,5400,28,12940
volvo,wagon,104.3,141,114,5400,28,13415
volvo,sedan,104.3,141,114,5400,28,15985
volvo,wagon,104.3,141,114,5400,28,16515
volvo,sedan,104.3,130,162,5100,22,18420
volvo,wagon,104.3,130,162,5100,22,18950
volvo,sedan,109.1,141,114,5400,28,16845
volvo,sedan,109.1,141,160,5300,25,19045
volvo,sedan,109.1,173,134,5500,23,21485
volvo,sedan,109.1,145,106,4800,27,22470
volvo,sedan,109.1,141,114,5400,25,22625
